#coluna 1 = t

#coluna 2 = x[t]
0	0
0.01	0.0209404
0.02	0.0418716
0.03	0.0627844
0.04	0.0836697
0.05	0.104518
0.06	0.125321
0.07	0.146069
0.08	0.166753
0.09	0.187363
0.1	0.207892
0.11	0.228329
0.12	0.248666
0.13	0.268894
0.14	0.289004
0.15	0.308988
0.16	0.328836
0.17	0.348539
0.18	0.36809
0.19	0.38748
0.2	0.406699
0.21	0.42574
0.22	0.444595
0.23	0.463254
0.24	0.481711
0.25	0.499956
0.26	0.517982
0.27	0.53578
0.28	0.553344
0.29	0.570665
0.3	0.587736
0.31	0.604549
0.32	0.621096
0.33	0.637372
0.34	0.653368
0.35	0.669077
0.36	0.684493
0.37	0.699609
0.38	0.714418
0.39	0.728914
0.4	0.74309
0.41	0.75694
0.42	0.770458
0.43	0.783639
0.44	0.796475
0.45	0.808963
0.46	0.821095
0.47	0.832868
0.48	0.844275
0.49	0.855312
0.5	0.865974
0.51	0.876256
0.52	0.886154
0.53	0.895663
0.54	0.90478
0.55	0.913499
0.56	0.921819
0.57	0.929733
0.58	0.93724
0.59	0.944336
0.6	0.951018
0.61	0.957283
0.62	0.963128
0.63	0.968551
0.64	0.973549
0.65	0.97812
0.66	0.982262
0.67	0.985973
0.68	0.989252
0.69	0.992097
0.7	0.994507
0.71	0.996481
0.72	0.998017
0.73	0.999117
0.74	0.999777
0.75	1
0.76	0.999784
0.77	0.999129
0.78	0.998037
0.79	0.996506
0.8	0.994539
0.81	0.992136
0.82	0.989297
0.83	0.986025
0.839999	0.98232
0.849999	0.978184
0.859999	0.973619
0.869999	0.968628
0.879999	0.963211
0.889999	0.957372
0.899999	0.951114
0.909999	0.944438
0.919999	0.937348
0.929999	0.929847
0.939999	0.921938
0.949999	0.913625
0.959999	0.904911
0.969999	0.895801
0.979999	0.886297
0.989999	0.876405
0.999999	0.866128
1.01	0.855472
1.02	0.84444
1.03	0.833039
1.04	0.821271
1.05	0.809144
1.06	0.796662
1.07	0.78383
1.08	0.770655
1.09	0.757142
1.1	0.743296
1.11	0.729125
1.12	0.714634
1.13	0.69983
1.14	0.684718
1.15	0.669307
1.16	0.653601
1.17	0.63761
1.18	0.621338
1.19	0.604794
1.2	0.587985
1.21	0.570918
1.22	0.553601
1.23	0.536041
1.24	0.518245
1.25	0.500223
1.26	0.481981
1.27	0.463528
1.28	0.444871
1.29	0.42602
1.3	0.406981
1.31	0.387764
1.32	0.368377
1.33	0.348829
1.34	0.329127
1.35	0.309281
1.36	0.2893
1.37	0.269192
1.38	0.248965
